HG02634
HG03100
NA18956
HG01600
HG02182
HG00592
HG03616
HG00692
HG00598
NA20832
HG01494
NA12813
NA19437
HG04035
HG01182
HG02923
HG02382
HG00357
HG03246
HG04140
NA18971
HG01250
HG00119
HG04026
HG02462
HG01773
NA18624
HG00625
HG03663
NA19731
HG00650
HG00409
HG00126
NA19723
HG01883
HG00282
HG01197
HG01437
HG02054
HG02477
HG02549
HG04159
NA20512
HG03078
HG00593
HG03631
HG01098
NA18574
NA18634
HG03977
NA18625
HG02165
HG02105
HG03577
HG02255
HG02220
HG00373
HG03738
HG01357
HG00290
NA19916
HG01443
HG02283
HG00356
HG00344
HG04038
NA19332
HG04023
NA21109
NA18991
HG00437
HG02968
NA12287
HG02252
HG03311
NA20847
NA20852
HG00611
HG02810
HG01841
NA19917
NA20849
HG04033
HG03108
HG01275
HG04239
HG00252
HG03894
HG02716
NA19077
NA21120
NA19201
HG03229
HG00111
HG03295
HG01377
HG02652
NA19321
NA19184
HG02661
HG03866
HG01840
HG00137
HG03240
HG03559
HG03960
HG03084
NA19107
NA18973
NA12413
HG01303
NA20510
HG01598
NA12872
NA18516
HG00566
NA19375
HG00422
HG02621
NA19377
NA19114
HG00180
HG03823
NA11931
HG00251
HG03363
HG01809
HG02568
HG04144
HG03088
NA19384
NA19009
HG00139
HG04017
NA18502
NA19909
HG03773
NA19007
NA19376
HG01863
HG03742
HG03703
NA18571
HG00982
HG02146
HG01137
NA20908
HG03857
NA12812
HG02371
NA18544
HG03907
HG02840
NA12044
HG02345
HG00641
HG03854
NA18639
HG02715
HG03114
HG02696
HG02445
HG02029
NA19472
NA19663
HG03370
HG03722
HG02798
HG02973
HG02231
NA20774
HG01797
HG04164
HG03874
HG03792
NA20891
NA19670
HG03905
HG01918
HG03772
NA19011
NA19374
HG00127
HG01102
NA12005
NA19684
HG03848
HG02314
HG03518
HG01046
NA12282
HG02380
HG03692
NA20765
NA19076
HG01512
NA20532
HG01140
NA19085
HG00096
HG01861
HG03378
HG03382
HG03077
HG01965
NA21112
NA18916
NA19785
HG01777
HG01459
HG01612
HG03575
HG01796
HG01531
NA20351
NA19248
NA19762
NA19792
NA20520
HG03583
HG03949
HG02546
HG01360
NA19324
HG02736
HG03069
HG03713
HG01988
HG01810
HG02026
NA20359
NA18917
HG01198
HG03934
NA19678
NA19035
NA18548
NA19141
HG02658
HG02334
HG03046
NA18620
HG02513
HG03045
HG01761
HG04211
NA20276
NA20764
HG03731
HG03063
NA19075
NA20294
HG00662
HG02970
